npy_path,label
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\accident_dummy_0.npy,1
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\accident_dummy_1.npy,1
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\accident_dummy_2.npy,1
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\accident_dummy_3.npy,1
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\accident_dummy_4.npy,1
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\accident_dummy_5.npy,1
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\non_accident_dummy_0.npy,0
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\non_accident_dummy_1.npy,0
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\non_accident_dummy_2.npy,0
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\non_accident_dummy_3.npy,0
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\non_accident_dummy_4.npy,0
C:\Users\Admin\Downloads\accident_detector\accident_detector\sample_data\processed\non_accident_dummy_5.npy,0
